school,conference,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,year,20
Kansas,Big 12,7,7,12,10,9,9,9,6,6,6,4,3,2,5,14,9,6,4,7,2013,3
Kansas State,Big 12,,,,,,,,25,25,18,16,11,18,13,10,13,13,9,11,2013,12
Kentucky,SEC,3,3,8,8,,,,,,,,,,,25,,,,,2013,
Louisiana Tech,WAC,,,,,,,,,,,,,,,,,25,,,2013,
Louisville,Big East,2,2,2,5,5,6,5,4,4,3,1,5,12,11,12,10,10,8,4,2013,2
Marquette,Big East,,,,,,,,,,,25,,25,24,18,17,22,15,12,2013,15
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,2013,20
School,Conf,Pre,11/12,11/19,11/26,12/3,12/10,12/17,12/24,12/31,1/7,1/14,1/21,1/28,2/4,2/11,2/18,2/25,3/4,3/11,2013,Final
Memphis,CUSA,17,17,19,,,,,,,,,,,,22,21,19,25,20,2013,19
Miami (FL),ACC,,,,,,,,,,,,25,14,8,3,2,5,6,9,2013,5
Michigan,Big Ten,5,5,4,3,3,3,2,2,2,2,5,2,1,3,4,7,4,7,6,2013,10
Michigan State,Big Ten,14,21,15,13,19,19,20,19,18,22,18,13,13,12,8,4,9,10,8,2013,9
Minnesota,Big Ten,,,,21,14,13,13,11,9,8,9,12,23,18,,,,,,2013,
Missouri,SEC,15,14,13,16,12,12,12,7,12,10,17,22,17,21,,,,,,2013,
NC State,ACC,6,6,16,18,25,25,25,23,23,20,14,18,19,,,,,,,2013,
New Mexico,MWC,,,,25,18,17,16,,20,25,19,15,20,15,19,16,14,12,15,2013,10
Notre Dame,Big East,22,20,,,22,22,22,21,21,17,20,24,,25,21,25,21,24,24,2013,23
Ohio State,Big Ten,4,4,3,4,7,7,7,10,8,15,11,14,11,10,13,18,16,14,10,2013,7
Oklahoma State,Big 12,,,20,15,23,24,24,22,22,,,,,22,17,14,15,13,14,2013,17
Ole Miss,SEC,,,,,,,,,,,,23,16,,,,,,,2013,
Oregon,Pac-12,,,,,,,,,,,21,16,10,19,23,23,24,19,,2013,25
Pitt,Big East,,,,,,,,24,24,,,,,23,16,20,23,20,17,2013,20
Saint Louis,A-10,,,,,,,,,,,,,,,,,18,16,16,2013,13
San Diego State,MWC,20,25,25,23,17,18,18,17,19,16,15,,22,,,,,,,2013,
Syracuse,Big East,9,8,6,6,4,4,3,9,7,7,6,3,6,9,6,8,12,17,19,2013,16
UCLA,Pac-12,13,13,11,,,,,,,,24,,,,,,,23,21,2013,24
UConn,Big East,,23,21,,,,,,,,,,,,,,,,,2013,
UNC,ACC,11,11,9,14,20,21,23,,,,,,,,,,,,,2013,
